Country/Region,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22
New Zealand,0,1,708,1485,1504,1565,1757,1848,1963,2060,2162,2307,2382,2501,2618,2679,2742,2877,3645,4319,6723,11895,14255,16817,142918,684374,943428,1178816
Nicaragua,0,0,5,14,885,3080,3659,4146,4424,4629,4829,4992,5142,5326,5498,5833,6604,7592,9283,11273,12866,13397,13563,13681,13958,14269,14395,14538
Niger,0,0,74,728,958,1136,1176,1197,1221,1586,3403,4537,4740,5021,5229,5410,5492,5637,5857,6025,6366,7007,7438,8655,8756,8801,8941,9031
Nigeria,0,1,174,2170,10578,43537,54247,59001,62964,67838,88587,131918,156017,162997,165110,166534,167692,174315,193013,205940,212051,214270,242877,253340,254570,255468,255753,256028
North Macedonia,0,1,354,1494,2315,10891,14455,18138,32436,62945,83743,92753,103020,131424,152581,155304,155689,156452,177399,191820,202705,215995,225484,270897,297738,306178,309571,312022
Norway,0,19,4863,7783,8446,9253,10871,14149,20635,36591,49803,63262,71735,96770,113259,125576,131509,137853,161814,189915,208615,271623,396415,804286,1257079,1407422,1426128,1433986
Oman,0,6,210,2447,12223,79159,85928,98585,115734,123908,128867,134524,141808,160018,193253,218271,270504,296835,302393,303769,304299,304572,305489,341708,382244,388343,389126,389473
Pakistan,0,4,2421,19103,76398,278305,296149,313431,335093,403311,484362,547648,582528,678165,829933,924667,959685,1039695,1167757,1248202,1274017,1285631,1296527,1436413,1510986,1525181,1527956,1530520
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,8,12,1810,3781,4042,4610,5065
Panama,0,0,1181,6720,13837,66383,93552,113342,134336,167311,249733,321103,341420,355499,364844,378828,404983,436475,458157,467338,472664,477990,497808,705880,755853,764831,777120,861711
Papua New Guinea,0,0,1,8,8,91,460,539,589,669,780,867,1365,6112,11119,15910,17098,17717,17926,20455,29813,35237,36158,37270,41290,43203,43817,44551
Paraguay,0,0,77,333,995,5485,18338,41799,63731,83479,108349,133781,160448,216278,281023,358244,424998,452698,458614,459967,461086,463121,466101,589318,642184,648353,649455,650661
